pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
2391,2390,2664,271,Male,40,Junior high school or below,han,1.0,2,0.0,11062.5,Urban,5.0,3.0,4.0,5.0,0.0,1,4.0,10.0,0.0,78.0,89.0
2390,2391,2664,271,Female,38,Junior high school or below,han,1.0,2,8000.0,11062.5,Urban,5.0,5.0,5.0,5.0,2.0,1,5.0,10.0,0.0,78.0,89.0
2393,2392,2665,99,Male,44,Junior high school or below,han,0.0,2,0.0,11750.0,Rural,5.0,5.0,5.0,5.0,3.0,1,3.0,11.0,0.0,63.0,84.0
2392,2393,2665,99,Female,47,Senior high school/secondary school/tec,han,1.0,2,1000.0,11750.0,Rural,5.0,2.0,3.0,2.0,1.0,1,3.0,11.0,0.0,63.0,83.0
2418,2419,2695,86,Male,46,Senior high school/secondary school/tec,han,0.0,1,0.0,7000.0,Urban,5.0,5.0,5.0,5.0,3.0,1,1.0,18.0,1.0,83.0,83.0
2419,2418,2695,86,Female,41,Senior high school/secondary school/tec,han,0.0,1,17500.0,7000.0,Urban,5.0,5.0,5.0,5.0,1.0,1,5.0,18.0,1.0,83.0,83.0
2475,2476,2742,92,Female,43,Junior high school or below,han,0.0,1,18000.0,6080.0,Urban,5.0,4.0,3.0,1.0,2.0,1,4.0,20.0,1.0,65.0,65.0
2476,2475,2742,92,Male,43,Junior high school or below,han,0.0,1,0.0,6080.0,Urban,5.0,5.0,5.0,5.0,0.0,1,3.0,20.0,1.0,65.0,65.0
208,2491,2765,230,Female,26,3-year college,non-han,0.0,0,20000.0,25000.0,Urban,4.0,4.0,2.0,3.0,2.0,1,1.0,5.0,0.0,54.0,55.0
2491,208,2765,230,Male,29,3-year college,non-han,0.0,0,0.0,25000.0,Urban,5.0,4.0,1.0,5.0,1.0,1,3.0,1.0,0.0,84.0,65.0
2498,2499,2775,246,Female,44,Senior high school/secondary school/tec,han,1.0,1,25.0,2261.667,Rural,5.0,5.0,5.0,5.0,2.0,1,2.0,10.0,0.0,63.0,83.0
2499,2498,2775,246,Male,44,Junior high school or below,han,1.0,1,0.0,2261.667,Rural,5.0,5.0,5.0,5.0,0.5,1,5.0,10.0,0.0,79.0,83.0
2556,2555,2839,251,Female,44,3-year college,han,1.0,2,4000.0,7675.0,Rural,5.0,5.0,5.0,5.0,3.0,1,5.0,12.0,0.0,79.0,77.0
2555,2556,2839,251,Male,43,3-year college,han,1.0,2,0.0,7675.0,Rural,5.0,5.0,5.0,5.0,2.0,1,5.0,12.0,0.0,63.0,67.0
2557,2558,2841,251,Male,35,Junior high school or below,han,1.0,2,0.0,5000.0,Rural,5.0,5.0,5.0,3.0,6.0,1,3.0,8.0,1.0,60.0,60.0
2558,2557,2841,251,Female,34,Senior high school/secondary school/tec,han,1.0,2,10248.0,5000.0,Rural,5.0,5.0,5.0,5.0,0.0,1,3.0,8.0,1.0,60.0,60.0
2571,2572,2850,244,Male,35,Junior high school or below,han,0.0,1,0.0,59000.0,Urban,5.0,5.0,5.0,5.0,0.0,1,5.0,11.0,0.0,52.0,84.0
2572,2571,2850,244,Female,35,Junior high school or below,han,0.0,1,37000.0,59000.0,Urban,5.0,5.0,1.0,4.0,3.0,1,3.0,11.0,0.0,76.0,67.0
2573,2574,2853,244,Female,44,Senior high school/secondary school/tec,han,0.0,1,3000.0,12800.0,Urban,1.0,1.0,2.0,1.0,1.0,1,5.0,21.0,0.0,63.0,89.0
2574,2573,2853,244,Male,44,Senior high school/secondary school/tec,han,0.0,1,0.0,12800.0,Urban,3.0,5.0,5.0,4.0,4.0,1,3.0,21.0,0.0,80.0,84.0
2575,2576,2854,244,Female,29,Junior high school or below,han,0.0,1,1400.0,8900.0,Urban,5.0,5.0,5.0,2.0,3.0,1,4.0,2.0,1.0,54.0,54.0
2576,2575,2854,244,Male,44,Junior high school or below,han,0.0,1,0.0,8900.0,Urban,5.0,5.0,5.0,5.0,0.0,1,2.0,2.0,1.0,54.0,54.0
2592,2591,2873,246,Male,48,3-year college,han,0.0,1,0.0,20000.0,Rural,5.0,5.0,4.0,5.0,1.0,1,5.0,19.0,0.0,79.0,67.0
2591,2592,2873,246,Female,48,3-year college,han,0.0,1,40000.0,20000.0,Rural,5.0,3.0,3.0,3.0,3.0,1,3.0,19.0,0.0,85.0,89.0
2595,2596,2878,251,Male,42,3-year college,han,0.0,1,0.0,30000.0,Urban,5.0,3.0,4.0,5.0,2.0,1,4.0,8.0,0.0,54.0,89.0
2596,2595,2878,251,Female,36,4-year college/Bachelor's degree or above,non-han,0.0,1,24000.0,30000.0,Urban,5.0,5.0,5.0,4.0,2.0,1,4.0,8.0,0.0,84.0,68.0
2609,2610,2892,251,Female,43,Senior high school/secondary school/tec,han,0.0,1,14000.0,6133.333,Urban,5.0,5.0,4.0,3.0,1.0,1,3.0,20.0,0.0,80.0,77.0
2610,2609,2892,251,Male,44,Junior high school or below,han,0.0,1,0.0,6133.333,Urban,5.0,3.0,4.0,4.0,0.0,1,3.0,20.0,0.0,79.0,89.0
2612,2611,2893,251,Male,39,Senior high school/secondary school/tec,han,0.0,1,0.0,11500.0,Urban,4.0,4.0,4.0,2.0,1.0,1,2.0,19.0,1.0,78.0,78.0
2611,2612,2893,251,Female,42,Senior high school/secondary school/tec,han,0.0,1,26000.0,11500.0,Urban,4.0,3.0,1.0,3.0,2.0,1,3.0,19.0,1.0,78.0,78.0
2623,2624,2899,251,Male,30,Junior high school or below,han,1.0,0,0.0,21000.0,Urban,5.0,2.0,5.0,5.0,0.5,1,5.0,27.0,0.0,84.0,65.0
2624,2623,2899,251,Female,29,Junior high school or below,han,1.0,0,2000.0,21000.0,Urban,5.0,4.0,3.0,4.0,1.0,1,2.0,1.0,0.0,84.0,65.0
2647,2648,2929,244,Male,42,Junior high school or below,han,1.0,2,0.0,15125.0,Rural,5.0,5.0,5.0,5.0,1.0,1,4.0,5.0,0.0,63.0,89.0
2648,2647,2929,244,Female,40,Junior high school or below,han,1.0,2,4500.0,15125.0,Rural,5.0,5.0,3.0,5.0,1.0,1,5.0,5.0,0.0,59.0,77.0
2649,2650,2931,244,Male,35,Junior high school or below,han,1.0,1,0.0,7000.0,Rural,5.0,5.0,4.0,5.0,1.0,1,3.0,12.0,1.0,64.0,64.0
2650,2649,2931,244,Female,34,4-year college/Bachelor's degree or above,non-han,0.0,1,26000.0,7000.0,Rural,3.0,3.0,3.0,5.0,1.0,1,5.0,12.0,1.0,64.0,64.0
2651,2652,2932,244,Female,42,Junior high school or below,han,1.0,1,1992.0,9730.667,Rural,4.0,4.0,5.0,5.0,1.0,1,5.0,14.0,0.0,91.0,83.0
2652,2651,2932,244,Male,47,Junior high school or below,han,1.0,1,0.0,9730.667,Rural,5.0,4.0,5.0,5.0,1.0,1,5.0,14.0,0.0,91.0,83.0
2683,2684,2960,244,Female,43,Senior high school/secondary school/tec,han,0.0,1,1800.0,20000.0,Urban,4.0,3.0,2.0,4.0,1.5,1,3.0,19.0,0.0,80.0,89.0
2684,2683,2960,244,Male,45,Senior high school/secondary school/tec,han,0.0,1,0.0,20000.0,Urban,4.0,3.0,4.0,3.0,0.5,1,3.0,19.0,0.0,80.0,68.0
5870,2699,2995,12,Female,26,Senior high school/secondary school/tec,,1.0,2,33000.0,12507.14,Urban,4.0,4.0,3.0,2.0,0.0,1,4.0,0.0,1.0,59.0,89.0
2699,5870,2995,12,Male,26,Junior high school or below,han,1.0,2,0.0,12507.14,Urban,5.0,5.0,5.0,2.0,0.0,1,4.0,0.0,1.0,63.0,77.0
2701,6609,3003,114,Male,27,Senior high school/secondary school/tec,han,0.0,1,0.0,17900.0,Urban,5.0,5.0,4.0,5.0,1.0,1,4.0,1.0,0.0,48.0,89.0
6609,2701,3003,114,Female,25,Junior high school or below,,1.0,1,3000.0,17900.0,Urban,3.0,4.0,2.0,5.0,5.0,1,5.0,1.0,0.0,52.0,68.0
2746,2745,3059,238,Female,37,4-year college/Bachelor's degree or above,han,1.0,1,9000.0,3000.0,Urban,5.0,5.0,5.0,5.0,8.0,1,5.0,16.0,1.0,64.0,64.0
2745,2746,3059,238,Male,40,Junior high school or below,han,1.0,1,0.0,3000.0,Urban,5.0,5.0,5.0,5.0,2.0,1,5.0,16.0,1.0,64.0,64.0
2778,2777,3092,242,Male,41,Junior high school or below,han,1.0,2,0.0,33275.0,Urban,5.0,5.0,4.0,4.0,0.0,1,2.0,14.0,0.0,69.0,89.0
2777,2778,3092,242,Female,43,Junior high school or below,han,1.0,2,20000.0,33275.0,Urban,5.0,5.0,5.0,5.0,2.0,1,5.0,14.0,0.0,78.0,77.0
2795,2794,3114,238,Female,40,Junior high school or below,non-han,1.0,2,500.0,1248.0,Rural,4.0,5.0,5.0,5.0,5.0,1,1.0,8.0,1.0,62.0,62.0
2794,2795,3114,238,Male,44,Junior high school or below,non-han,1.0,2,0.0,1248.0,Rural,5.0,5.0,5.0,3.0,2.0,1,4.0,8.0,1.0,62.0,62.0
2810,2811,3130,238,Male,49,4-year college/Bachelor's degree or above,han,0.0,1,0.0,32000.0,Urban,5.0,5.0,5.0,3.0,1.0,1,3.0,24.0,0.0,73.0,77.0
2811,2810,3130,238,Female,49,3-year college,han,0.0,1,36000.0,32000.0,Urban,5.0,4.0,3.0,3.0,1.0,1,4.0,24.0,0.0,84.0,89.0
2814,2815,3135,238,Male,26,3-year college,,1.0,0,0.0,7350.0,Urban,5.0,5.0,5.0,3.0,1.0,1,2.0,2.0,1.0,57.0,57.0
2815,2814,3135,238,Female,26,Junior high school or below,han,0.0,0,24600.0,7350.0,Urban,5.0,5.0,5.0,3.0,2.0,1,1.0,8.0,1.0,57.0,57.0
2854,2855,3172,243,Male,40,3-year college,han,0.0,1,0.0,10000.0,Urban,5.0,5.0,4.0,3.0,0.0,1,3.0,14.0,1.0,69.0,69.0
2855,2854,3172,243,Female,38,4-year college/Bachelor's degree or above,han,0.0,1,40000.0,10000.0,Urban,3.0,3.0,3.0,3.0,1.0,1,3.0,14.0,1.0,69.0,69.0
2863,2862,3177,243,Female,37,Junior high school or below,han,0.0,1,60000.0,13333.33,Urban,4.0,4.0,1.0,2.0,3.0,1,5.0,14.0,0.0,65.0,84.0
2862,2863,3177,243,Male,38,Junior high school or below,han,0.0,1,0.0,13333.33,Urban,5.0,5.0,4.0,5.0,0.0,1,5.0,14.0,0.0,78.0,89.0
2896,2895,3206,237,Male,41,Senior high school/secondary school/tec,han,0.0,1,0.0,13000.0,Urban,5.0,5.0,4.0,3.0,0.0,1,3.0,15.0,1.0,71.0,71.0
2895,2896,3206,237,Female,42,Senior high school/secondary school/tec,han,0.0,1,18000.0,13000.0,Urban,5.0,5.0,4.0,2.0,1.0,1,4.0,15.0,1.0,71.0,71.0
2915,2916,3229,237,Male,34,Junior high school or below,han,0.0,1,0.0,1252.5,Urban,5.0,5.0,5.0,5.0,1.0,1,5.0,7.0,1.0,60.0,60.0
