pid,pid_s,coupleid,countyid14,gender,age,edu,han_race,hukou,kids,income,fincome_per,urban,marriage_sat,secon_sat,shw_sat,division,hwh,work_only,femma,c_childage_min,c_elderpres,c_elderage_min,c_elderage_max
764,765,807,233,Female,32,Junior high school or below,han,0,1,,16666.67,Urban,5,5,5,1,1,0,1,9,0,,
765,764,807,233,Male,35,Junior high school or below,han,0,1,,16666.67,Urban,5,5,5,3,0.3,0,1,9,0,,
768,769,810,233,Female,42,Junior high school or below,han,1,2,,10000,Urban,5,5,5,3,1,0,5,3,0,,
769,768,810,233,Male,39,Junior high school or below,han,1,2,,10000,Urban,5,5,4,5,0.5,0,5,3,0,,
772,773,817,233,Male,46,Junior high school or below,han,1,4,,2857.143,Urban,5,5,5,5,1,0,5,5,1,67,67
773,772,817,233,Female,41,Junior high school or below,han,1,4,,2857.143,Urban,5,3,5,4,3,0,4,5,1,67,67
775,774,819,233,Male,50,Junior high school or below,han,1,2,,20785,Rural,4,5,3,5,1,0,5,26,0,,
774,775,819,233,Female,49,Junior high school or below,han,1,2,,20785,Rural,4,4,4,5,4,0,3,26,0,,
776,777,824,233,Male,42,Senior high school/secondary school/tec,han,1,3,,2278.572,Rural,5,5,5,4,1,0,1,5,1,75,75
777,776,824,233,Female,41,Junior high school or below,han,1,3,,2278.572,Rural,4,4,5,4,3,0,3,5,1,75,75
780,781,830,233,Female,44,Junior high school or below,han,1,2,,5033.333,Rural,5,5,5,5,3,0,5,9,0,,
781,780,830,233,Male,43,Junior high school or below,han,1,2,,5033.333,Rural,5,5,4,5,0,0,4,9,0,,
787,788,836,233,Male,44,Senior high school/secondary school/tec,han,1,2,,3968,Rural,5,5,5,5,1,0,1,14,1,67,67
788,787,836,233,Female,44,Junior high school or below,han,1,2,,3968,Rural,5,4,4,5,10,0,5,14,1,67,67
789,790,840,233,Female,44,Junior high school or below,han,1,2,,6513.333,Rural,4,3,4,5,4,0,4,12,0,,
790,789,840,233,Male,48,Junior high school or below,han,1,2,,6513.333,Rural,5,5,5,5,1,0,5,12,0,,
794,793,845,233,Male,39,Junior high school or below,han,1,3,,16000,Rural,5,5,5,5,1,0,3,0,0,,
793,794,845,233,Female,34,Junior high school or below,han,1,3,,16000,Rural,3,2,3,5,1,0,5,0,0,,
798,797,848,233,Female,32,Junior high school or below,han,1,2,,112.5,Rural,2,3,3,4,2,0,4,3,0,,
797,798,848,233,Male,34,Junior high school or below,han,1,2,,112.5,Rural,5,4,5,5,2,0,5,3,0,,
799,800,854,231,Male,43,Junior high school or below,han,1,2,,1234.8,Rural,,,,,,0,,7,1,68,68
800,799,854,231,Female,45,Junior high school or below,han,1,2,,1234.8,Rural,5,5,5,5,5,0,5,7,1,68,68
801,802,856,231,Male,30,Senior high school/secondary school/tec,han,1,2,,5105.556,Rural,5,3,4,5,0.5,0,5,1,1,62,62
802,801,856,231,Female,31,Junior high school or below,han,1,2,,5105.556,Rural,2,1,4,3,2,0,5,1,1,62,62
803,804,858,231,Male,30,Junior high school or below,han,1,0,,5545.333,Rural,5,5,5,4,1,0,2,,1,55,55
804,803,858,231,Female,26,Junior high school or below,han,1,0,,5545.333,Rural,3,3,3,3,1,0,1,,1,55,55
805,806,861,231,Male,41,Junior high school or below,han,1,2,,122.5,Rural,5,5,5,5,1,0,3,9,0,,
806,805,861,231,Female,40,Junior high school or below,han,1,2,,122.5,Rural,5,5,5,5,2,0,5,9,0,,
808,809,865,231,Male,30,Junior high school or below,.,,1,,938,Rural,,,,,0.5,0,,5,1,57,57
809,808,865,231,Female,26,Junior high school or below,han,1,1,,938,Rural,,,,,3,0,,5,1,57,57
824,823,878,228,Female,43,Junior high school or below,han,1,2,,12675,Rural,5,5,5,1,2,0,1,12,0,,
823,824,878,228,Male,45,Junior high school or below,han,1,2,,12675,Rural,5,5,5,1,1,0,1,12,0,,
832,833,884,228,Male,27,Junior high school or below,han,1,1,,9190,Rural,5,3,4,5,1,0,1,2,1,56,56
833,832,884,228,Female,26,Junior high school or below,han,1,1,,9190,Rural,3,3,2,1,2,0,1,2,1,56,56
842,841,890,228,Female,45,Junior high school or below,han,1,2,,13102.5,Rural,5,5,5,5,2,0,4,22,1,78,78
841,842,890,228,Male,45,Junior high school or below,han,1,2,,13102.5,Rural,5,5,5,4,0,0,3,22,1,78,78
